categoryA,categoryC,featureD,featureE,featureF,compositionC,unit,result,water_quality
catA_1,catC_718,122.299437237519,30.8319059046492,0.0,26.0,unit_6,0.0004579421700264,Very Poor
catA_1,catC_1309,122.299437237519,30.8319059046492,0.0,26.0,unit_6,0.0003348406687886,Very Poor
catA_15,catC_1309,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.054071785948921,Very Poor
catA_0,catC_935,122.299437237519,30.8319059046492,2.0,26.0,unit_5,0.0611428297608503,Very Poor
catA_22,catC_1325,93.6771974435832,15.047884084971097,4.0,14.0,unit_15,0.0154392663150436,Very Poor
catA_0,catC_1325,93.6771974435832,15.047884084971097,4.0,14.0,unit_5,0.0127783449069973,Very Poor
catA_3,catC_1325,93.6771974435832,15.047884084971097,4.0,14.0,unit_1,0.0017220861043052,Very Poor
catA_10,catC_920,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0672967432363083,Very Poor
catA_7,catC_920,122.299437237519,30.8319059046492,0.0,26.0,unit_8,0.4779162389677316,Standard
catA_15,catC_920,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0351984119429783,Very Poor
catA_3,catC_920,122.299437237519,30.8319059046492,0.0,26.0,unit_1,0.0081437451872593,Very Poor
catA_18,catC_920,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.028108190014395,Very Poor
catA_7,catC_439,122.299437237519,30.8319059046492,6.0,26.0,unit_8,0.4728874389310001,Standard
catA_6,catC_439,122.299437237519,30.8319059046492,6.0,26.0,unit_7,0.6908001493702682,Good
catA_19,catC_212,122.299437237519,30.8319059046492,3.0,26.0,unit_13,0.2728488719685025,Poor
catA_7,catC_1166,122.299437237519,30.8319059046492,1.0,26.0,unit_8,0.4798865729670299,Standard
catA_4,catC_544,122.299437237519,30.8319059046492,4.0,26.0,unit_3,0.0140195900038108,Very Poor
catA_2,catC_544,122.299437237519,30.8319059046492,4.0,26.0,unit_1,0.0052586069303465,Very Poor
catA_6,catC_212,122.299437237519,30.8319059046492,4.0,26.0,unit_7,0.6707641647146688,Good
catA_14,catC_511,122.299437237519,30.8319059046492,3.0,26.0,unit_0,0.0302295628456701,Very Poor
catA_13,catC_511,122.299437237519,30.8319059046492,3.0,26.0,unit_0,0.0073248882491097,Very Poor
catA_1,catC_473,122.299437237519,30.8319059046492,5.0,26.0,unit_6,0.0001362689788899,Very Poor
catA_8,catC_11,122.299437237519,30.8319059046492,0.0,26.0,unit_9,0.0082355736914647,Very Poor
catA_15,catC_11,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0153144866491782,Very Poor
catA_3,catC_11,122.299437237519,30.8319059046492,0.0,26.0,unit_1,0.0077937276863843,Very Poor
catA_16,catC_11,122.299437237519,30.8319059046492,3.0,26.0,unit_2,0.0002923862350712,Very Poor
catA_12,catC_11,122.299437237519,30.8319059046492,3.0,26.0,unit_11,0.1405631715875741,Very Poor
catA_14,catC_11,122.299437237519,30.8319059046492,3.0,26.0,unit_0,0.0302295628456701,Very Poor
catA_13,catC_11,122.299437237519,30.8319059046492,3.0,26.0,unit_0,0.0433723766952041,Very Poor
catA_4,catC_235,122.299437237519,30.8319059046492,2.0,26.0,unit_3,0.0148063143944985,Very Poor
catA_12,catC_235,122.299437237519,30.8319059046492,2.0,26.0,unit_11,0.0948814330264586,Very Poor
catA_4,catC_1391,122.299437237519,30.8319059046492,0.0,26.0,unit_3,0.0261074737958808,Very Poor
catA_8,catC_1391,122.299437237519,30.8319059046492,0.0,26.0,unit_9,0.0054191454546689,Very Poor
catA_18,catC_1391,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.02807452079703,Very Poor
catA_3,catC_2440,122.299437237519,30.8319059046492,0.0,26.0,unit_1,0.0052269233461673,Very Poor
catA_0,catC_1584,122.299437237519,30.8319059046492,2.0,26.0,unit_5,0.0202406905969884,Very Poor
catA_10,catC_1584,122.299437237519,30.8319059046492,2.0,26.0,unit_4,0.006838470870901,Very Poor
catA_8,catC_1584,122.299437237519,30.8319059046492,2.0,26.0,unit_9,0.0037468818533028,Very Poor
catA_15,catC_1584,122.299437237519,30.8319059046492,2.0,26.0,unit_4,0.007532298055805,Very Poor
catA_42,catC_15,93.6771974435832,15.047884084971097,0.0,14.0,unit_2,0.0017720431688815,Very Poor
catA_28,catC_15,93.6771974435832,15.047884084971097,0.0,14.0,unit_16,0.0616451992171799,Very Poor
catA_91,catC_15,93.6771974435832,15.047884084971097,0.0,14.0,unit_2,0.0003834693086016,Very Poor
catA_0,catC_1691,122.299437237519,30.8319059046492,0.0,26.0,unit_5,0.0276340080248007,Very Poor
catA_3,catC_1691,122.299437237519,30.8319059046492,0.0,26.0,unit_1,0.0066269933496674,Very Poor
catA_19,catC_1696,122.299437237519,30.8319059046492,0.0,26.0,unit_13,0.4075906312825453,Standard
catA_12,catC_1089,122.299437237519,30.8319059046492,2.0,26.0,unit_11,0.0580056397562614,Very Poor
catA_11,catC_1089,122.299437237519,30.8319059046492,2.0,26.0,unit_0,0.0469511326615652,Very Poor
catA_4,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_3,0.0232463925347871,Very Poor
catA_16,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_2,0.0001018914801196,Very Poor
catA_14,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_0,0.0201277975604212,Very Poor
catA_2,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_1,0.0043334686734336,Very Poor
catA_9,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_10,0.4091545064377682,Standard
catA_5,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_0,0.0780595499659065,Very Poor
catA_70,catC_15,93.6771974435832,15.047884084971097,0.0,14.0,unit_2,1.4165721591471917e-06,Very Poor
catA_1,catC_1699,122.299437237519,30.8319059046492,0.0,26.0,unit_6,0.0002228729618653,Very Poor
catA_7,catC_1699,122.299437237519,30.8319059046492,0.0,26.0,unit_8,0.6168642921414905,Good
catA_7,catC_2711,122.299437237519,30.8319059046492,2.0,26.0,unit_8,0.5758213701542118,Standard
catA_7,catC_649,122.299437237519,30.8319059046492,2.0,26.0,unit_8,0.5546572331197529,Standard
catA_0,catC_718,122.299437237519,30.8319059046492,0.0,26.0,unit_5,0.0769965088573959,Very Poor
catA_0,catC_1309,122.299437237519,30.8319059046492,0.0,26.0,unit_5,0.1208073399468556,Very Poor
catA_7,catC_1309,122.299437237519,30.8319059046492,0.0,26.0,unit_8,0.5883961698996548,Standard
catA_3,catC_1309,122.299437237519,30.8319059046492,0.0,26.0,unit_1,0.0114105705285264,Very Poor
catA_11,catC_935,122.299437237519,30.8319059046492,2.0,26.0,unit_0,0.0961675884536707,Very Poor
catA_1,catC_2754,122.299437237519,30.8319059046492,0.0,26.0,unit_6,0.000189715972146,Very Poor
catA_7,catC_1209,122.299437237519,30.8319059046492,0.0,26.0,unit_8,0.5120309514772123,Standard
catA_10,catC_966,122.299437237519,30.8319059046492,4.0,26.0,unit_4,0.0206013239745643,Very Poor
catA_15,catC_966,122.299437237519,30.8319059046492,4.0,26.0,unit_4,0.016823552605982,Very Poor
catA_3,catC_2482,93.6771974435832,15.047884084971097,0.0,14.0,unit_1,0.0019180959047952,Very Poor
catA_165,catC_15,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,1.4165721591471917e-06,Very Poor
catA_171,catC_15,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,1.4165721591471917e-06,Very Poor
catA_50,catC_15,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,1.4165721591471917e-06,Very Poor
catA_82,catC_15,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,0.0001772033599842,Very Poor
catA_10,catC_938,93.6771974435832,15.047884084971097,0.0,14.0,unit_4,0.0366990215745775,Very Poor
catA_8,catC_938,93.6771974435832,15.047884084971097,0.0,14.0,unit_9,0.0002580066945947,Very Poor
catA_16,catC_1089,122.299437237519,30.8319059046492,2.0,26.0,unit_2,0.0003189668985529,Very Poor
catA_9,catC_1089,122.299437237519,30.8319059046492,2.0,26.0,unit_10,0.5422017167381974,Standard
catA_1,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_6,0.0004084537616312,Very Poor
catA_15,catC_1325,93.6771974435832,15.047884084971097,4.0,14.0,unit_4,0.026156802819494,Very Poor
catA_5,catC_1325,93.6771974435832,15.047884084971097,4.0,14.0,unit_0,0.016525494355633,Very Poor
catA_6,catC_1325,93.6771974435832,15.047884084971097,4.0,14.0,unit_7,0.3344875581355874,Poor
catA_132,catC_15,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,3.543025237676877e-06,Very Poor
catA_117,catC_15,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,1.4165721591471917e-06,Very Poor
catA_63,catC_2853,93.6771974435832,15.047884084971097,6.0,14.0,unit_2,0.0075155929339902,Very Poor
catA_0,catC_1389,93.6771974435832,15.047884084971097,0.0,14.0,unit_5,0.0199399682905225,Very Poor
catA_19,catC_1691,122.299437237519,30.8319059046492,0.0,26.0,unit_13,0.4200496253318422,Standard
catA_11,catC_1691,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.0559739374195014,Very Poor
