categoryA,categoryC,featureD,featureE,featureF,compositionC,unit
1,1925,122.299437237519,30.8319059046492,0.0,26.0,15
1,287,122.299437237519,30.8319059046492,0.0,26.0,15
49,287,122.299437237519,30.8319059046492,0.0,26.0,13
0,2146,122.299437237519,30.8319059046492,2.0,26.0,14
82,302,93.6771974435832,15.047884084971097,4.0,14.0,7
0,302,93.6771974435832,15.047884084971097,4.0,14.0,14
90,302,93.6771974435832,15.047884084971097,4.0,14.0,1
2,2134,122.299437237519,30.8319059046492,0.0,26.0,13
134,2134,122.299437237519,30.8319059046492,0.0,26.0,17
49,2134,122.299437237519,30.8319059046492,0.0,26.0,13
90,2134,122.299437237519,30.8319059046492,0.0,26.0,1
75,2134,122.299437237519,30.8319059046492,0.0,26.0,0
134,1632,122.299437237519,30.8319059046492,6.0,26.0,17
123,1632,122.299437237519,30.8319059046492,6.0,26.0,16
78,942,122.299437237519,30.8319059046492,3.0,26.0,5
134,161,122.299437237519,30.8319059046492,1.0,26.0,17
101,1744,122.299437237519,30.8319059046492,4.0,26.0,12
79,1744,122.299437237519,30.8319059046492,4.0,26.0,1
123,942,122.299437237519,30.8319059046492,4.0,26.0,16
41,1710,122.299437237519,30.8319059046492,3.0,26.0,0
33,1710,122.299437237519,30.8319059046492,3.0,26.0,0
1,1670,122.299437237519,30.8319059046492,5.0,26.0,15
145,102,122.299437237519,30.8319059046492,0.0,26.0,18
49,102,122.299437237519,30.8319059046492,0.0,26.0,13
90,102,122.299437237519,30.8319059046492,0.0,26.0,1
58,102,122.299437237519,30.8319059046492,3.0,26.0,11
23,102,122.299437237519,30.8319059046492,3.0,26.0,3
41,102,122.299437237519,30.8319059046492,3.0,26.0,0
33,102,122.299437237519,30.8319059046492,3.0,26.0,0
101,1101,122.299437237519,30.8319059046492,2.0,26.0,12
23,1101,122.299437237519,30.8319059046492,2.0,26.0,3
101,362,122.299437237519,30.8319059046492,0.0,26.0,12
145,362,122.299437237519,30.8319059046492,0.0,26.0,18
75,362,122.299437237519,30.8319059046492,0.0,26.0,0
90,1168,122.299437237519,30.8319059046492,0.0,26.0,1
0,518,122.299437237519,30.8319059046492,2.0,26.0,14
2,518,122.299437237519,30.8319059046492,2.0,26.0,13
145,518,122.299437237519,30.8319059046492,2.0,26.0,18
49,518,122.299437237519,30.8319059046492,2.0,26.0,13
104,452,93.6771974435832,15.047884084971097,0.0,14.0,11
88,452,93.6771974435832,15.047884084971097,0.0,14.0,8
158,452,93.6771974435832,15.047884084971097,0.0,14.0,11
0,610,122.299437237519,30.8319059046492,0.0,26.0,14
90,610,122.299437237519,30.8319059046492,0.0,26.0,1
78,613,122.299437237519,30.8319059046492,0.0,26.0,5
23,91,122.299437237519,30.8319059046492,2.0,26.0,3
12,91,122.299437237519,30.8319059046492,2.0,26.0,0
101,1600,122.299437237519,30.8319059046492,5.0,26.0,12
58,1600,122.299437237519,30.8319059046492,5.0,26.0,11
41,1600,122.299437237519,30.8319059046492,5.0,26.0,0
79,1600,122.299437237519,30.8319059046492,5.0,26.0,1
156,1600,122.299437237519,30.8319059046492,5.0,26.0,2
112,1600,122.299437237519,30.8319059046492,5.0,26.0,0
135,452,93.6771974435832,15.047884084971097,0.0,14.0,11
1,616,122.299437237519,30.8319059046492,0.0,26.0,15
134,616,122.299437237519,30.8319059046492,0.0,26.0,17
134,1341,122.299437237519,30.8319059046492,2.0,26.0,17
134,1851,122.299437237519,30.8319059046492,2.0,26.0,17
0,1925,122.299437237519,30.8319059046492,0.0,26.0,14
0,287,122.299437237519,30.8319059046492,0.0,26.0,14
134,287,122.299437237519,30.8319059046492,0.0,26.0,17
90,287,122.299437237519,30.8319059046492,0.0,26.0,1
12,2146,122.299437237519,30.8319059046492,2.0,26.0,0
1,1362,122.299437237519,30.8319059046492,0.0,26.0,15
134,199,122.299437237519,30.8319059046492,0.0,26.0,17
2,2176,122.299437237519,30.8319059046492,4.0,26.0,13
49,2176,122.299437237519,30.8319059046492,4.0,26.0,13
90,1198,93.6771974435832,15.047884084971097,0.0,14.0,1
62,452,93.6771974435832,15.047884084971097,4.0,14.0,11
67,452,93.6771974435832,15.047884084971097,4.0,14.0,11
113,452,93.6771974435832,15.047884084971097,4.0,14.0,11
148,452,93.6771974435832,15.047884084971097,4.0,14.0,11
2,2149,93.6771974435832,15.047884084971097,0.0,14.0,13
145,2149,93.6771974435832,15.047884084971097,0.0,14.0,18
58,91,122.299437237519,30.8319059046492,2.0,26.0,11
156,91,122.299437237519,30.8319059046492,2.0,26.0,2
1,1600,122.299437237519,30.8319059046492,5.0,26.0,15
49,302,93.6771974435832,15.047884084971097,4.0,14.0,13
112,302,93.6771974435832,15.047884084971097,4.0,14.0,0
123,302,93.6771974435832,15.047884084971097,4.0,14.0,16
35,452,93.6771974435832,15.047884084971097,4.0,14.0,11
20,452,93.6771974435832,15.047884084971097,4.0,14.0,11
127,1431,93.6771974435832,15.047884084971097,6.0,14.0,11
